start_node,finish_node,lengthm,speed,st_astext,road_type,last_updated
2005992836,29474484,424.402144082788,94,"LINESTRING(32.4261035 39.7485299,32.421579 39.7469596)",trunk,2019-05-13 23:41:07.145+00
27047856,2381256509,36.1077482494592,78,"LINESTRING(32.5991821 39.8498643,32.5989194 39.8496098)",trunk,2019-05-13 23:41:08.215+00
29474467,3799593339,722.22341293283,71,"LINESTRING(32.5548778 39.811046,32.5486623 39.8066427)",trunk,2019-05-13 23:05:14.122+00
112364631,3439221826,297.116635493656,76,"LINESTRING(32.2421032 39.682212,32.2446803 39.6840026)",trunk,2019-05-14 00:28:20.655+00
2970275029,29474493,318.566544618525,92,"LINESTRING(32.32422 39.7191199,32.3205993 39.7184479)",trunk,2019-05-14 00:11:24.124+00
2381256504,29474467,61.6346729240565,71,"LINESTRING(32.5554118 39.8114188,32.5548778 39.811046)",trunk,2019-05-14 00:28:25.044+00
226169219,29474288,264.191482238462,86,"LINESTRING(32.7106913 39.9057283,32.7075989 39.905595)",trunk,2019-05-13 23:04:16.676+00
2186060849,27047879,639.224460327824,37,"LINESTRING(32.1569002 39.5815356,32.1503825 39.5787405)",trunk,2019-05-13 23:13:30.084+00
243775911,2189274320,194.912818209292,95,"LINESTRING(32.6219371 39.8604644,32.6198861 39.8596937)",trunk,2019-05-13 23:41:56.018+00
2204798522,29474459,236.226023638859,90,"LINESTRING(32.5875449 39.8382305,32.585863 39.8365437)",trunk,2019-05-13 23:41:56.628+00
3723941725,3723941726,33.2804703741042,87,"LINESTRING(32.4080117 39.7422032,32.408368 39.7423237)",trunk,2019-05-13 23:58:59.93+00
1388625632,2354783602,89.7162113649866,56,"LINESTRING(32.8413436 39.9156204,32.8403135 39.915784)",primary,2019-05-14 00:19:52.508+00
112371284,112371357,384.229699554759,89,"LINESTRING(32.5055615 39.7792305,32.5091732 39.7812887)",trunk,2019-05-14 00:39:51.654+00
4510939411,4510939414,15.9451706590935,59,"LINESTRING(32.6439177 39.8710767,32.6440541 39.8711747)",trunk,2019-05-14 00:20:42.896+00
2355882612,4420623573,152.600558356536,67,"LINESTRING(32.8029852 39.9099161,32.8047036 39.9102982)",trunk,2019-05-14 00:20:48.067+00
100035225,4872855507,80.4484183282559,60,"LINESTRING(32.80015 39.9095683,32.7992222 39.9094381)",trunk,2019-05-13 23:35:26.418+00
380974618,29474489,279.507419601674,53,"LINESTRING(32.350315 39.7238637,32.3471307 39.7232979)",trunk,2019-05-13 23:42:55.842+00
2389806699,2341629039,155.50352830182,82,"LINESTRING(32.6848651 39.8982831,32.6862744 39.8991701)",trunk,2019-05-14 00:38:44.371+00
2486055376,2389806716,70.0031650743941,74,"LINESTRING(32.683951 39.8977098,32.6845867 39.8981079)",trunk,2019-05-13 23:19:28.736+00
308856719,308856720,80.9086746906082,85,"LINESTRING(32.636755 39.866185,32.6375017 39.8666333)",trunk,2019-05-14 00:21:10.063+00
4754262478,404730047,12.1276519657196,74,"LINESTRING(32.8218266 39.914509,32.8216907 39.9144769)",primary,2019-05-14 00:02:02.613+00
112369370,112369506,590.991914003848,78,"LINESTRING(32.4342532 39.7511055,32.4405764 39.7532538)",trunk,2019-05-13 23:48:31.601+00
112365605,112365740,510.01469906085,100,"LINESTRING(32.2731498 39.7027705,32.2781815 39.7052305)",trunk,2019-05-13 22:58:18.513+00
2204798536,29474458,761.319422317141,86,"LINESTRING(32.5938581 39.8446901,32.5884427 39.8392506)",trunk,2019-05-13 23:43:59.065+00
112372136,2381256505,86.7279663199861,77,"LINESTRING(32.5368614 39.7981954,32.5376111 39.7987213)",trunk,2019-05-13 23:14:41.269+00
718670149,27046655,143.661062215462,92,"LINESTRING(32.7715303 39.9081518,32.7698478 39.9080923)",trunk,2019-05-13 23:28:18.66+00
