segment_id,start_node,finish_node,lengthm,road_type,speed,st_astext
1001,2186060059,112273426,76.0967455154658,trunk,60,"LINESTRING(32.1414616 39.5748322,32.1422917 39.575075)"
1002,112273426,27047880,216.611147617053,trunk,56,"LINESTRING(32.1422917 39.575075,32.1445942 39.5758782)"
1003,27047880,1397577714,21.0954665531145,trunk,53,"LINESTRING(32.1445942 39.5758782,32.1448068 39.5759738)"
1004,1397577714,172995414,33.1068146659467,trunk,27,"LINESTRING(32.1448068 39.5759738,32.1451404 39.5761239)"
1005,172995414,243776389,101.540739526023,trunk,39,"LINESTRING(32.1451404 39.5761239,32.1461125 39.5766459)"
1006,243776389,112358981,419.336488713028,trunk,45,"LINESTRING(32.1461125 39.5766459,32.1503553 39.5785241)"
1007,112358981,2186060549,13.0598503572596,trunk,30,"LINESTRING(32.1503553 39.5785241,32.1504881 39.5785817)"
1008,2186060549,112359808,224.327018269097,trunk,66,"LINESTRING(32.1504881 39.5785817,32.1527689 39.5795715)"
1009,112359808,2186060832,411.82078472711,trunk,57,"LINESTRING(32.1527689 39.5795715,32.1569736 39.5813644)"
1010,2186060832,2186060844,25.5439790184457,trunk,64,"LINESTRING(32.1569736 39.5813644,32.1572317 39.5814793)"
1011,2186060844,1037720626,418.283464487178,trunk,51,"LINESTRING(32.1572317 39.5814793,32.161458 39.583361)"
1012,1037720626,1037720459,18.2233984969495,trunk,70,"LINESTRING(32.161458 39.583361,32.1616409 39.5834446)"
1013,1037720459,172994919,35.9738292750471,trunk,66,"LINESTRING(32.1616409 39.5834446,32.1620019 39.5836097)"
1014,172994919,1037720890,83.9401432809844,trunk,72,"LINESTRING(32.1620019 39.5836097,32.1628465 39.583992)"
1015,1037720890,112360807,89.2037411517786,trunk,72,"LINESTRING(32.1628465 39.583992,32.1637482 39.5843928)"
1016,112360807,112360996,144.737633657469,trunk,74,"LINESTRING(32.1637482 39.5843928,32.1651562 39.5851117)"
1017,112360996,112361025,82.7636015979593,trunk,70,"LINESTRING(32.1651562 39.5851117,32.1658801 39.5856044)"
1018,112361025,112361086,126.154748101667,trunk,70,"LINESTRING(32.1658801 39.5856044,32.1670251 39.5863175)"
1019,112361086,112361172,164.726320048384,trunk,71,"LINESTRING(32.1670251 39.5863175,32.1684254 39.5873324)"
1019,112361172,1421882224,83.7044803523116,trunk,70,"LINESTRING(32.1684254 39.5873324,32.1690786 39.5878921)"
1020,1421882224,112361239,118.830320362793,trunk,76,"LINESTRING(32.1690786 39.5878921,32.1699745 39.5887078)"
1021,112361239,112361300,100.166019363561,trunk,93,"LINESTRING(32.1699745 39.5887078,32.1706642 39.5894351)"
1022,112361300,112361327,64.3787285462452,trunk,92,"LINESTRING(32.1706642 39.5894351,32.1710699 39.5899224)"
1023,112361327,112361479,126.777510430485,trunk,81,"LINESTRING(32.1710699 39.5899224,32.1718514 39.5908905)"
1024,112361479,112361501,93.0159453202007,trunk,62,"LINESTRING(32.1718514 39.5908905,32.1723471 39.5916347)"
1025,112361501,112361729,1136.93575817277,trunk,74,"LINESTRING(32.1723471 39.5916347,32.1779808 39.6008921)"
1026,112361729,112361877,290.208055544782,trunk,87,"LINESTRING(32.1779808 39.6008921,32.1793801 39.6032689)"
1027,112361877,112362106,780.959310615341,trunk,78,"LINESTRING(32.1793801 39.6032689,32.1834097 39.6095688)"
1028,112362106,112362290,777.736511380779,trunk,89,"LINESTRING(32.1834097 39.6095688,32.1872532 39.6159055)"
1029,112362290,112362355,544.911873823494,trunk,91,"LINESTRING(32.1872532 39.6159055,32.1899414 39.620347)"
1030,112362355,112362526,805.011490150322,trunk,89,"LINESTRING(32.1899414 39.620347,32.1939215 39.6269055)"
1031,112362526,112362557,184.782761327639,trunk,86,"LINESTRING(32.1939215 39.6269055,32.1948899 39.6283905)"
1032,112362557,112362597,187.208587253644,trunk,91,"LINESTRING(32.1948899 39.6283905,32.1959897 39.6298455)"
1033,112362597,112362621,189.799524102888,trunk,84,"LINESTRING(32.1959897 39.6298455,32.1971898 39.6312805)"
1034,112362621,112362830,809.526527328011,trunk,93,"LINESTRING(32.1971898 39.6312805,32.2023699 39.6373704)"
1035,112362830,112363019,719.053005737213,trunk,81,"LINESTRING(32.2023699 39.6373704,32.2069965 39.642767)"
1036,112363019,112363133,314.524511723025,trunk,91,"LINESTRING(32.2069965 39.642767,32.2090181 39.6451287)"
1037,112363133,112363264,415.730142553451,trunk,90,"LINESTRING(32.2090181 39.6451287,32.2116998 39.6482455)"
1038,112363264,1914126886,150.289290304128,trunk,82,"LINESTRING(32.2116998 39.6482455,32.2126678 39.649373)"
1039,1914126886,1914126984,490.852968769626,trunk,89,"LINESTRING(32.2126678 39.649373,32.2158296 39.6530554)"
1040,1914126984,112363575,262.368522871955,trunk,79,"LINESTRING(32.2158296 39.6530554,32.2175197 39.6550237)"
1041,112363575,112363734,392.456708247006,trunk,74,"LINESTRING(32.2175197 39.6550237,32.2200497 39.657967)"
1042,112363734,112363877,494.275228764467,trunk,80,"LINESTRING(32.2200497 39.657967,32.2232333 39.6616754)"
1043,112363877,112364092,755.888787413983,trunk,83,"LINESTRING(32.2232333 39.6616754,32.2281015 39.667347)"
1044,112364092,112364342,924.200786312336,trunk,80,"LINESTRING(32.2281015 39.667347,32.2340597 39.6742787)"
1045,112364342,112364447,437.980117718757,trunk,75,"LINESTRING(32.2340597 39.6742787,32.2368832 39.6775638)"
1046,112364447,112364483,175.597970249822,trunk,75,"LINESTRING(32.2368832 39.6775638,32.2380515 39.678862)"
1047,112364483,112364507,85.716519840557,trunk,75,"LINESTRING(32.2380515 39.678862,32.2386664 39.6794705)"
1048,112364507,112364551,85.5611311640297,trunk,76,"LINESTRING(32.2386664 39.6794705,32.2393082 39.6800605)"
1050,112364551,112364571,85.2241480399013,trunk,77,"LINESTRING(32.2393082 39.6800605,32.2399764 39.6806288)"
1051,112364571,3439221819,69.8220624104381,trunk,77,"LINESTRING(32.2399764 39.6806288,32.2405469 39.6810777)"
1052,3439221819,112364589,14.431838765168,trunk,75,"LINESTRING(32.2405469 39.6810777,32.2406648 39.6811705)"
1053,112364589,112364631,169.007981798578,trunk,75,"LINESTRING(32.2406648 39.6811705,32.2421032 39.682212)"
1054,112364631,3439221826,297.116635493656,trunk,76,"LINESTRING(32.2421032 39.682212,32.2446803 39.6840026)"
1055,3439221826,112364724,137.907202597406,trunk,80,"LINESTRING(32.2446803 39.6840026,32.2458765 39.6848337)"
1056,112364724,112364873,597.106078064495,trunk,81,"LINESTRING(32.2458765 39.6848337,32.2510697 39.6884204)"
1057,112364873,2970273103,237.216596639497,trunk,80,"LINESTRING(32.2510697 39.6884204,32.2531377 39.6898412)"
1058,2970273103,2351272037,431.656700460642,trunk,88,"LINESTRING(32.2531377 39.6898412,32.256901 39.6924265)"
1059,2351272037,112365057,61.042816841418,trunk,80,"LINESTRING(32.256901 39.6924265,32.2574332 39.6927921)"
1060,112365057,2351592357,334.376437492455,trunk,85,"LINESTRING(32.2574332 39.6927921,32.2603459 39.694797)"
1061,2351592357,2351592358,89.5014743549703,trunk,88,"LINESTRING(32.2603459 39.694797,32.2611256 39.6953336)"
1062,2351592358,112365259,228.52920539659,trunk,76,"LINESTRING(32.2611256 39.6953336,32.2631164 39.6967038)"
1063,112365259,2351271815,32.8870575447514,trunk,79,"LINESTRING(32.2631164 39.6967038,32.263408 39.6968965)"
1064,2351271815,112365346,300.495251106293,trunk,78,"LINESTRING(32.263408 39.6968965,32.2660231 39.6987005)"
