names,nodes,dir,segment_id,distance_from_start,distance_from_kizilay
milli kütüphane,29289705,1,19,1683.89879801951,1683.89879801951
konya yolu,276961615,1,30,2933.8397550903,2933.8397550903
armada,288704314,1,33,3663.74627728818,3663.74627728818
odtü,393950525,1,48,5492.05364897655,5492.05364897655
bilkent,27046656,1,67,7210.98200514408,7210.98200514408
hacettepe,2272351639,1,80,10045.6959241066,10045.6959241066
ümitköy,288241918,1,84,11782.0001764472,11782.0001764472
çayyolu,2389806681,1,102,13577.3504662306,13577.3504662306
çevreyolu,493138684,1,149,20482.5055439467,20482.5055439467
çankaya üni,2380594397,1,185,28353.754919707,28353.754919707
kantar,2381256503,1,188,29106.0963885495,29106.0963885495
temelli,2204797102,1,235,49198.3603121785,49198.3603121785
milli kütüphane,29451060,2,1325,73440.4526265829,1682.88763571101
konya yolu,665879120,2,1317,72180.3110608744,2943.02920141946
armada,293438432,2,1310,71593.6355113155,3529.70475097836
odtü,29285802,2,1295,69629.6008905113,5493.73937178262
bilkent,29474304,2,1285,67807.0414499896,7316.29881230429
hacettepe,29474311,2,1273,65007.6960864658,10115.6441758281
ümitköy,288241806,2,1267,63304.370511146,11818.9697511479
çayyolu,2389806684,2,1250,61502.5853724174,13620.7548898765
çevreyolu,205005044,2,1199,54452.7430823895,20670.5971799044
çankaya üni,112372936,2,1160,46574.3480096367,28548.9922526572
temelli,112367659,2,1094,25937.344235516,49185.996026778
